	'prog'	'id'	';'	'inicio'	'fim'	'vetor'	'['	']'	'de'	'='	'('	')'	','	'..'	'var'	':'	'tipo'	':='	'registro'	'value'	'rotulo'	'const'	'proc'	'func'	'ref'	'pare'	'continue'	'pule'	'escreva'	'leia'	'retorne'	'para'	'faca'	'enquanto'	'repita'	'ate'	'se'	'entao'	'senao'	'caso'	'seja'	'and'	'or'	'=='	'!='	'>'	'<'	'>='	'<='	'~'	'+'	'-'	'*'	'/'	'inteiro'	'real'	'logico'	'texto'	'literalint'	'literalreal'	'literallogico'	'literaltexto'	'.'	ε
T687			ε, 119									ε, 119	ε, 119																													ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T686 T687, 117	'-' T686 T687, 118												
T688		T727 T728, 124									'(' T93 ')', 126																																								T155 T729, 125	T155 T729, 125							T727 T728, 124	T727 T728, 124	T727 T728, 124	T727 T728, 124		
T689			ε, 123									ε, 123	ε, 123																															ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T688 T689, 121	'/' T688 T689, 122										
T690		T730 T731, 120									T730 T731, 120																																								T730 T731, 120	T730 T731, 120							T730 T731, 120	T730 T731, 120	T730 T731, 120	T730 T731, 120		
T691			ε, 119									ε, 119	ε, 119																										ε, 119			ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T690 T691, 117	'-' T690 T691, 118												
T692			ε, 108									ε, 108	ε, 108																										ε, 108			ε, 108	ε, 108	'==' T732 T692, 106	'!=' T732 T692, 107																			
T693		T733 T734, 114									T733 T734, 114																																							'~' T733 T734, 115	T733 T734, 114	T733 T734, 114							T733 T734, 114	T733 T734, 114	T733 T734, 114	T733 T734, 114		
T694																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T695		'id' T735, 147																																																														
T696		T737, 146																																																									T736, 145	T736, 145	T736, 145	T736, 145		
T697			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150			ε, 151																						ε, 151								ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T654, 149	
T698																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T699		'id' T738, 147																																																														
T700																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T701		'id' T739, 147																																																														
T702		T741, 146																																																									T740, 145	T740, 145	T740, 145	T740, 145		
T703		T742 T743, 120									T742 T743, 120																																								T742 T743, 120	T742 T743, 120							T742 T743, 120	T742 T743, 120	T742 T743, 120	T742 T743, 120		
T704			ε, 119																																	ε, 119			ε, 119			ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T703 T704, 117	'-' T703 T704, 118												
T705		T744 T745, 124									'(' T93 ')', 126																																								T155 T746, 125	T155 T746, 125							T744 T745, 124	T744 T745, 124	T744 T745, 124	T744 T745, 124		
T706			ε, 123																																	ε, 123			ε, 123					ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T705 T706, 121	'/' T705 T706, 122										
T707			ε, 151		ε, 151		'[' T75 ']', 148				'(' T48 ')', 150			ε, 151																									ε, 151			ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T664, 149	
T708																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T709		'id' T747, 147																																																														
T710			ε, 151		ε, 151		'[' T75 ']', 148				'(' T48 ')', 150																												ε, 151					ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T668, 149	
T711			ε, 151		ε, 151		'[' T75 ']', 148				'(' T48 ')', 150																												ε, 151			ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T671, 149	
T712		T749, 146																																																									T748, 145	T748, 145	T748, 145	T748, 145		
T713			ε, 128		ε, 128									'..' T750, 127																									ε, 128			ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T714		T750, 132									'(' T93 ')', 131																																																T750, 132	T750, 132	T750, 132	T750, 132		
T715																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T716		'id' T751, 147																																																														
T717		T753, 146																																																									T752, 145	T752, 145	T752, 145	T752, 145		
T718			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150		ε, 151	ε, 151																												ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T678, 149	
T719																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T720		'id' T754, 147																																																														
T721			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150		ε, 151																															ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T682, 149	
T722			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150	ε, 151	ε, 151	ε, 151																												ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T684, 149	
T723																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T724		'id' T755, 147																																																														
T725		T756 T757, 124									'(' T93 ')', 126																																								T155 T758, 125	T155 T758, 125							T756 T757, 124	T756 T757, 124	T756 T757, 124	T756 T757, 124		
T726			ε, 123									ε, 123	ε, 123																													ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T725 T726, 121	'/' T725 T726, 122										
T727		T760, 146																																																									T759, 145	T759, 145	T759, 145	T759, 145		
T728			ε, 128									ε, 128	ε, 128	'..' T761, 127																														ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T729		T761, 132									'(' T93 ')', 131																																																T761, 132	T761, 132	T761, 132	T761, 132		
T730		T762 T763, 124									'(' T93 ')', 126																																								T155 T764, 125	T155 T764, 125							T762 T763, 124	T762 T763, 124	T762 T763, 124	T762 T763, 124		
T731			ε, 123									ε, 123	ε, 123																										ε, 123			ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T730 T731, 121	'/' T730 T731, 122										
T732		T765 T766, 114									T765 T766, 114																																							'~' T765 T766, 115	T765 T766, 114	T765 T766, 114							T765 T766, 114	T765 T766, 114	T765 T766, 114	T765 T766, 114		
T733		T767 T768, 116									T767 T768, 116																																								T767 T768, 116	T767 T768, 116							T767 T768, 116	T767 T768, 116	T767 T768, 116	T767 T768, 116		
T734			ε, 113									ε, 113	ε, 113																										ε, 113					ε, 113	ε, 113	'>' T693, 109	'<' T693, 110	'>=' T693, 111	'<=' T693, 112															
T735			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150			ε, 151																						ε, 151						ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T695, 149	
T736																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T737		'id' T769, 147																																																														
T738			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150																									ε, 151								ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T699, 149	
T739			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150			ε, 151																						ε, 151			ε, 151			ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T701, 149	
T740																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T741		'id' T770, 147																																																														
T742		T771 T772, 124									'(' T93 ')', 126																																								T155 T773, 125	T155 T773, 125							T771 T772, 124	T771 T772, 124	T771 T772, 124	T771 T772, 124		
T743			ε, 123																																	ε, 123			ε, 123			ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T742 T743, 121	'/' T742 T743, 122										
T744		T775, 146																																																									T774, 145	T774, 145	T774, 145	T774, 145		
T745			ε, 128											'..' T776, 127																						ε, 128			ε, 128					ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T746		T776, 132									'(' T93 ')', 131																																																T776, 132	T776, 132	T776, 132	T776, 132		
T747			ε, 151		ε, 151		'[' T75 ']', 148				'(' T48 ')', 150																												ε, 151			ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T709, 149	
T748																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T749		'id' T777, 147																																																														
T750		T779, 146																																																									T778, 145	T778, 145	T778, 145	T778, 145		
T751			ε, 151		ε, 151		'[' T75 ']', 148				'(' T48 ')', 150			ε, 151																									ε, 151					ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T716, 149	
T752																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T753		'id' T780, 147																																																														
T754			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150		ε, 151																													ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T720, 149	
T755			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150	ε, 151	ε, 151																													ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T724, 149	
T756		T782, 146																																																									T781, 145	T781, 145	T781, 145	T781, 145		
T757			ε, 128									ε, 128	ε, 128	'..' T783, 127																												ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T758		T783, 132									'(' T93 ')', 131																																																T783, 132	T783, 132	T783, 132	T783, 132		
T759																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T760		'id' T784, 147																																																														
T761		T786, 146																																																									T785, 145	T785, 145	T785, 145	T785, 145		
T762		T788, 146																																																									T787, 145	T787, 145	T787, 145	T787, 145		
T763			ε, 128									ε, 128	ε, 128	'..' T789, 127																									ε, 128			ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T764		T789, 132									'(' T93 ')', 131																																																T789, 132	T789, 132	T789, 132	T789, 132		
T765		T790 T791, 116									T790 T791, 116																																								T790 T791, 116	T790 T791, 116							T790 T791, 116	T790 T791, 116	T790 T791, 116	T790 T791, 116		
T766			ε, 113									ε, 113	ε, 113																										ε, 113			ε, 113	ε, 113	ε, 113	ε, 113	'>' T732, 109	'<' T732, 110	'>=' T732, 111	'<=' T732, 112															
T767		T792 T793, 120									T792 T793, 120																																								T792 T793, 120	T792 T793, 120							T792 T793, 120	T792 T793, 120	T792 T793, 120	T792 T793, 120		
T768			ε, 119									ε, 119	ε, 119																										ε, 119					ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T767 T768, 117	'-' T767 T768, 118												
T769			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150																									ε, 151						ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T737, 149	
T770			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150																									ε, 151			ε, 151			ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T741, 149	
T771		T795, 146																																																									T794, 145	T794, 145	T794, 145	T794, 145		
T772			ε, 128											'..' T796, 127																						ε, 128			ε, 128			ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T773		T796, 132									'(' T93 ')', 131																																																T796, 132	T796, 132	T796, 132	T796, 132		
T774																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T775		'id' T797, 147																																																														
T776		T799, 146																																																									T798, 145	T798, 145	T798, 145	T798, 145		
T777			ε, 151		ε, 151		'[' T75 ']', 148				'(' T48 ')', 150			ε, 151																									ε, 151			ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T749, 149	
T778																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T779		'id' T800, 147																																																														
T780			ε, 151		ε, 151		'[' T75 ']', 148				'(' T48 ')', 150																												ε, 151					ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T753, 149	
T781																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T782		'id' T801, 147																																																														
T783		T803, 146																																																									T802, 145	T802, 145	T802, 145	T802, 145		
T784			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150	ε, 151	ε, 151	ε, 151																														ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T760, 149	
T785																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T786		'id' T804, 147																																																														
T787																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T788		'id' T805, 147																																																														
T789		T807, 146																																																									T806, 145	T806, 145	T806, 145	T806, 145		
T790		T808 T809, 120									T808 T809, 120																																								T808 T809, 120	T808 T809, 120							T808 T809, 120	T808 T809, 120	T808 T809, 120	T808 T809, 120		
T791			ε, 119									ε, 119	ε, 119																										ε, 119			ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T790 T791, 117	'-' T790 T791, 118												
T792		T810 T811, 124									'(' T93 ')', 126																																								T155 T812, 125	T155 T812, 125							T810 T811, 124	T810 T811, 124	T810 T811, 124	T810 T811, 124		
T793			ε, 123									ε, 123	ε, 123																										ε, 123					ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T792 T793, 121	'/' T792 T793, 122										
T794																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T795		'id' T813, 147																																																														
T796		T815, 146																																																									T814, 145	T814, 145	T814, 145	T814, 145		
T797			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150			ε, 151																						ε, 151			ε, 151					ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T775, 149	
T798																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T799		'id' T816, 147																																																														
T800			ε, 151		ε, 151		'[' T75 ']', 148				'(' T48 ')', 150																												ε, 151			ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T779, 149	
T801			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150	ε, 151	ε, 151	ε, 151																												ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T782, 149	
T802																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T803		'id' T817, 147																																																														
T804			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150	ε, 151	ε, 151																															ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T786, 149	
T805			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150	ε, 151	ε, 151	ε, 151																									ε, 151			ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T788, 149	
T806																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T807		'id' T818, 147																																																														
T808		T819 T820, 124									'(' T93 ')', 126																																								T155 T821, 125	T155 T821, 125							T819 T820, 124	T819 T820, 124	T819 T820, 124	T819 T820, 124		
T809			ε, 123									ε, 123	ε, 123																										ε, 123			ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T808 T809, 121	'/' T808 T809, 122										
T810		T823, 146																																																									T822, 145	T822, 145	T822, 145	T822, 145		
T811			ε, 128									ε, 128	ε, 128	'..' T824, 127																									ε, 128					ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T812		T824, 132									'(' T93 ')', 131																																																T824, 132	T824, 132	T824, 132	T824, 132		
T813			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150			ε, 151																						ε, 151			ε, 151			ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T795, 149	
T814																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T815		'id' T825, 147																																																														
T816			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150																									ε, 151			ε, 151					ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T799, 149	
T817			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150	ε, 151	ε, 151																													ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T803, 149	
T818			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150	ε, 151	ε, 151																										ε, 151			ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T807, 149	
T819		T827, 146																																																									T826, 145	T826, 145	T826, 145	T826, 145		
T820			ε, 128									ε, 128	ε, 128	'..' T828, 127																									ε, 128			ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T821		T828, 132									'(' T93 ')', 131																																																T828, 132	T828, 132	T828, 132	T828, 132		
T822																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T823		'id' T829, 147																																																														
T824		T831, 146																																																									T830, 145	T830, 145	T830, 145	T830, 145		
T825			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150																									ε, 151			ε, 151			ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T815, 149	
T826																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T827		'id' T832, 147																																																														
T828		T834, 146																																																									T833, 145	T833, 145	T833, 145	T833, 145		
T829			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150	ε, 151	ε, 151	ε, 151																									ε, 151					ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T823, 149	
T830																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T831		'id' T835, 147																																																														
T832			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150	ε, 151	ε, 151	ε, 151																									ε, 151			ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T827, 149	
T833																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T834		'id' T836, 147																																																														
T835			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150	ε, 151	ε, 151																										ε, 151					ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T831, 149	
T836			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150	ε, 151	ε, 151																										ε, 151			ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T834, 149	
'prog'	pop																																																															
'id'		pop																																																														
';'			pop																																																													
'inicio'				pop																																																												
'fim'					pop																																																											
'vetor'						pop																																																										
'['							pop																																																									
']'								pop																																																								
'de'									pop																																																							
'='										pop																																																						
'('											pop																																																					
')'												pop																																																				
','													pop																																																			
'..'														pop																																																		
'var'															pop																																																	
':'																pop																																																
'tipo'																	pop																																															
':='																		pop																																														
'registro'																			pop																																													
'value'																				pop																																												
'rotulo'																					pop																																											
'const'																						pop																																										
'proc'																							pop																																									
'func'																								pop																																								
'ref'																									pop																																							
'pare'																										pop																																						
'continue'																											pop																																					
'pule'																												pop																																				
'escreva'																													pop																																			
'leia'																														pop																																		
'retorne'																															pop																																	
'para'																																pop																																
'faca'																																	pop																															
'enquanto'																																		pop																														
'repita'																																			pop																													
'ate'																																				pop																												
'se'																																					pop																											
'entao'																																						pop																										
'senao'																																							pop																									
'caso'																																								pop																								
'seja'																																									pop																							
'and'																																										pop																						
'or'																																											pop																					
'=='																																												pop																				
'!='																																													pop																			
'>'																																														pop																		
'<'																																															pop																	
'>='																																																pop																
'<='																																																	pop															
'~'																																																		pop														
'+'																																																			pop													
'-'																																																				pop												
'*'																																																					pop											
'/'																																																						pop										
'inteiro'																																																							pop									
'real'																																																								pop								
'logico'																																																									pop							
'texto'																																																										pop						
'literalint'																																																											pop					
'literalreal'																																																												pop				
'literallogico'																																																													pop			
'literaltexto'																																																														pop		
'.'																																																															pop	
$																																																																accept
