	'prog'	'id'	';'	'inicio'	'fim'	'vetor'	'['	']'	'de'	'='	'('	')'	','	'..'	'var'	':'	'tipo'	':='	'registro'	'value'	'rotulo'	'const'	'proc'	'func'	'ref'	'pare'	'continue'	'pule'	'escreva'	'leia'	'retorne'	'para'	'faca'	'enquanto'	'repita'	'ate'	'se'	'entao'	'senao'	'caso'	'seja'	'and'	'or'	'=='	'!='	'>'	'<'	'>='	'<='	'~'	'+'	'-'	'*'	'/'	'inteiro'	'real'	'logico'	'texto'	'literalint'	'literalreal'	'literallogico'	'literaltexto'	'.'	ε
T157		T201 T202, 116									T201 T202, 116																																								T201 T202, 116	T201 T202, 116							T201 T202, 116	T201 T202, 116	T201 T202, 116	T201 T202, 116		
T158			ε, 113																																							ε, 113	ε, 113	ε, 113	ε, 113	'>' T119, 109	'<' T119, 110	'>=' T119, 111	'<=' T119, 112															
T159		T203 T204, 120									T203 T204, 120																																								T203 T204, 120	T203 T204, 120							T203 T204, 120	T203 T204, 120	T203 T204, 120	T203 T204, 120		
T160			ε, 119																																									ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T159 T160, 117	'-' T159 T160, 118												
T161		T205 T206, 116									T205 T206, 116																																								T205 T206, 116	T205 T206, 116							T205 T206, 116	T205 T206, 116	T205 T206, 116	T205 T206, 116		
T162													ε, 113																													ε, 113	ε, 113	ε, 113	ε, 113	'>' T122, 109	'<' T122, 110	'>=' T122, 111	'<=' T122, 112															
T163													ε, 105																													'and' T207 T163, 103	'or' T207 T163, 104																					
T164													ε, 108																															'==' T208 T164, 106	'!=' T208 T164, 107																			
T165		T209, 99									T209, 99																																							T209, 99	T209, 99	T209, 99							T209, 99	T209, 99	T209, 99	T209, 99		
T166			ε, 75										',' 'id' '=' T165 T166, 74																																																			
T167		T210 T211, 56		T210 T211, 56																						T210 T211, 56	T210 T211, 56	T210 T211, 56	T210 T211, 56	T210 T211, 56	T210 T211, 56	T210 T211, 56		T210 T211, 56	T210 T211, 56		T210 T211, 56			T210 T211, 56																								
T168												ε, 80	',' T167 T168, 79																																																			
T169		T212 T213, 116									T212 T213, 116																																								T212 T213, 116	T212 T213, 116							T212 T213, 116	T212 T213, 116	T212 T213, 116	T212 T213, 116		
T170												ε, 113																														ε, 113	ε, 113	ε, 113	ε, 113	'>' T126, 109	'<' T126, 110	'>=' T126, 111	'<=' T126, 112															
T171												ε, 105																														'and' T214 T171, 103	'or' T214 T171, 104																					
T172												ε, 108																																'==' T215 T172, 106	'!=' T215 T172, 107																			
T173																																'para' '(' T71 ')' 'faca' T94, 69																																
T174																																		'enquanto' '(' T72 ')' 'faca' T94, 81																														
T175																																			'repita' T73 'ate' T176, 82																													
T176		T216, 99									T216, 99																																							T216, 99	T216, 99	T216, 99							T216, 99	T216, 99	T216, 99	T216, 99		
T177			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150					ε, 151		ε, 151																		ε, 151																											'.' T133, 149	
T178																																					'se' '(' T72 ')' 'entao' T217 T218, 85																											
T179																																								'caso' '(' T72 ')' 'seja' T78 T219, 88																								
T180		T220 T221, 120									T220 T221, 120																																								T220 T221, 120	T220 T221, 120							T220 T221, 120	T220 T221, 120	T220 T221, 120	T220 T221, 120		
T181			ε, 119		ε, 119																																					ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T180 T181, 117	'-' T180 T181, 118												
T182			ε, 108		ε, 108																																					ε, 108	ε, 108	'==' T222 T182, 106	'!=' T222 T182, 107																			
T183		T223 T224, 114									T223 T224, 114																																							'~' T223 T224, 115	T223 T224, 114	T223 T224, 114							T223 T224, 114	T223 T224, 114	T223 T224, 114	T223 T224, 114		
T184		T225 T226, 100									T225 T226, 100																																							T225 T226, 100	T225 T226, 100	T225 T226, 100							T225 T226, 100	T225 T226, 100	T225 T226, 100	T225 T226, 100		
T185			ε, 87		ε, 87																																		'senao' T76, 86																									
																																							ε, 87																									
T186					'fim', 89																																		'senao' T10 'fim', 90																									
T187		T228, 146																																																									T227, 145	T227, 145	T227, 145	T227, 145		
T188													',' T187 T188, 153			ε, 154																																																
T189																													'escreva' '(' T48 ')', 63																																			
T190																														'leia' '(' T48 ')', 64																																		
T191																																T229, 66		T230, 67	T231, 68																													
T192				'inicio' T4 'fim', 2																																																												
T193																															'retorne' T232, 65																																	
T194		'id' T233, 147																																																														
T195			ε, 61		ε, 61											':' T149, 59		':=' T232, 60																					ε, 61																									
T196																												'pule' 'id', 62																																				
T197																																					T234, 83			T235, 84																								
T198																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T199		'id' T236, 147																																																														
T200		T238, 146																																																									T237, 145	T237, 145	T237, 145	T237, 145		
T201		T239 T240, 120									T239 T240, 120																																								T239 T240, 120	T239 T240, 120							T239 T240, 120	T239 T240, 120	T239 T240, 120	T239 T240, 120		
T202			ε, 119																																							ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T201 T202, 117	'-' T201 T202, 118												
T203		T241 T242, 124									'(' T93 ')', 126																																								T155 T243, 125	T155 T243, 125							T241 T242, 124	T241 T242, 124	T241 T242, 124	T241 T242, 124		
T204			ε, 123																																									ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T203 T204, 121	'/' T203 T204, 122										
T205		T244 T245, 120									T244 T245, 120																																								T244 T245, 120	T244 T245, 120							T244 T245, 120	T244 T245, 120	T244 T245, 120	T244 T245, 120		
T206													ε, 119																													ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T205 T206, 117	'-' T205 T206, 118												
T207													ε, 108																													ε, 108	ε, 108	'==' T246 T207, 106	'!=' T246 T207, 107																			
T208		T247 T248, 114									T247 T248, 114																																							'~' T247 T248, 115	T247 T248, 114	T247 T248, 114							T247 T248, 114	T247 T248, 114	T247 T248, 114	T247 T248, 114		
T209		T249 T250, 100									T249 T250, 100																																							T249 T250, 100	T249 T250, 100	T249 T250, 100							T249 T250, 100	T249 T250, 100	T249 T250, 100	T249 T250, 100		
T210		T256 T257, 53		T254, 50																						'pare', 46	'continue', 52	T258, 54	T251, 47	T252, 48	T255, 51	T253, 49		T253, 49	T253, 49		T259, 55			T259, 55																								
T211			';' T167, 57									ε, 58	ε, 58																																																			
T212		T260 T261, 120									T260 T261, 120																																								T260 T261, 120	T260 T261, 120							T260 T261, 120	T260 T261, 120	T260 T261, 120	T260 T261, 120		
T213												ε, 119																														ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T212 T213, 117	'-' T212 T213, 118												
T214												ε, 108																														ε, 108	ε, 108	'==' T262 T214, 106	'!=' T262 T214, 107																			
